MySportU,Config,Genre,Numero
069069001 - ENTPE (1) M,ENTPE (1),M,1
069069001 - ENTPE (2) M,ENTPE (2),M,2
069069006 - UDL - UTE LYON 2 VB M 5,LYON 2 (5),M,5
069069006 - UDL UTE LYON 2 IEP VB M 4,LYON 2 (IEP) (4),M,4
069069006 - UDL UTE LYON 2 VB M 6,LYON 2 (6),M,6
069069006 - UDL- UTE LYON 2 VB F (1),LYON 2 (1),F,1
069069006 - UDL- UTE LYON 2 VB F (2),LYON 2 (2),F,2
069069006 - UDL- UTE LYON 2 VB F (3),LYON 2 (3),F,3
069069006 - UDL- UTE LYON 2 VB F (5),LYON 2 (5),F,5
069069006 - UDL- UTE LYON 2 VB F (6),LYON 2 (6),F,6
069069006 - UDL- UTE LYON 2 VB M 1,LYON 2 (1),M,1
069069006 - UDL- UTE LYON 2 VB M 2,LYON 2 (2),M,2
069069006 - UDL- UTE LYON 2 VB M 3,LYON 2 (3),M,3
069069006 - UDL- UTE LYON 2-IEP VB F (4),LYON 2 (IEP) (4),F,4
069069006 - UDL-UTE LYON2 VB F (7),LYON 2 (7),F,7
069069007 - LYON3 (1) Volley Féminin,LYON 3 (1),F,1
069069007 - LYON3 (1) Volley Masculin,LYON 3 (1),M,1
069069007 - LYON3 (2) Volley Féminin,LYON 3 (2),F,2
069069007 - LYON3 (2) Volley masculin,LYON 3 (2),M,2
069069007 - LYON3 (3) Volley Féminin,LYON 3 (3),F,3
069069007 - LYON3 (3) Volley Masculin,LYON 3 (3),M,3
069069007 - LYON3 (5) Volley Masculin,LYON 3 (5),M,5
069069007 - LYON3 (6) Volley Masculin,LYON 3 (6),M,6
069069007 - LYON3(4) Volley Féminin,LYON 3 (4),F,4
069069007 - LYON3(4) Volley Masculin,LYON 3 (4),M,4
069069007 - LYON3(5) Volley Féminin,LYON 3 (5),F,5
069069007 - LYON3(6) Volley Féminin,LYON 3 (6),F,6
069069008 - EMSLB 1,ESA (1),F,1
069069008 - EMSLB 2,ESA (2),F,2
069069008 - ESA VOLLEY MASCULIN 1,ESA (1),M,1
